CITY, PROVINCE, COUNTRY,LANGUAGE,LANGUAGE_COUNT,anger, anticipation, disgust, enjoyment, fear, sad, surprise, trust,
Vancouver, British Columbia, Canada,en,2106,158.0, 5.0, 39.0, 417.0, 112.5, 194.0, 150.5, 1.0],
Vancouver, British Columbia, Canada,is,1,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,it,5,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,cy,1,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,ar,8,0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,in,7,1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,et,3,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,es,31,0.0, 0.0, 0.0, 3.0, 1.0, 1.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,ru,7,0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,nl,2,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,pt,40,3.0, 0.0, 0.0, 8.0, 3.0, 3.0, 3.0, 0.0,
Vancouver, British Columbia, Canada,no,2,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,tl,25,0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,th,2,0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,ro,1,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,pl,4,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,fr,28,1.0, 0.0, 0.0, 3.0, 1.0, 1.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,de,8,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,ht,12,0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0,
Vancouver, British Columbia, Canada,da,2,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,fa,2,0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,ja,77,3.0, 2.0, 1.0, 20.5, 0.0, 12.5, 4.0, 0.0,
Vancouver, British Columbia, Canada,ko,2,0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0,
Vancouver, British Columbia, Canada,und,129,0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,en,400,20.0, 1.0, 6.0, 69.5, 13.5, 25.5, 33.0, 0.0,
Seoul, Seoul,South Korea,zh,20,0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 1.0, 0.0,
Seoul, Seoul,South Korea,vi,1,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,it,3,0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,cy,1,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,ar,10,1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0,
Seoul, Seoul,South Korea,in,46,2.0, 0.0, 0.0, 1.0, 0.0, 3.0, 2.0, 0.0,
Seoul, Seoul,South Korea,cs,1,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,et,8,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,es,18,0.0, 0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,ru,25,0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0,
Seoul, Seoul,South Korea,nl,2,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,pt,4,0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,tr,3,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0,
Seoul, Seoul,South Korea,ne,3,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0,
Seoul, Seoul,South Korea,lv,1,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,tl,28,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0,
Seoul, Seoul,South Korea,th,177,4.0, 0.0, 0.0, 32.0, 7.0, 13.5, 3.0, 0.0,
Seoul, Seoul,South Korea,pl,4,0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0,
Seoul, Seoul,South Korea,fr,3,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,de,1,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,ht,6,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,ja,615,61.0, 4.0, 4.0, 137.5, 36.5, 61.0, 35.0, 0.0,
Seoul, Seoul,South Korea,ko,1432,101.5, 11.0, 15.0, 263.5, 86.0, 132.5, 87.0, 2.0,
Seoul, Seoul,South Korea,und,193,0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0,
Seoul, Seoul,South Korea,sl,1,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,



